tick,z,x,y,speed,yvel,xvel,side_push,fuel,oxy,on_ground,jumping,on_ice,on_sticky,over_hole,tile,end_state,expl,end_frames,ap_delta,ap_light,edge_dist,fly,sfx
1,196683,32676,10240,75,-115,-29,0,30000,29996,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
2,196833,32580,10240,150,-115,-29,0,30000,29992,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
3,197058,32479,10240,225,-115,-29,0,30000,29988,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
4,197358,32374,10240,300,-115,-29,0,30000,29984,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
5,197733,32265,10240,375,-115,-29,0,29999,29980,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
6,198183,32152,10240,450,-115,-29,0,29998,29976,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
7,198708,32034,10240,525,-115,-29,0,29997,29972,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
8,199308,31912,10240,600,-115,-29,0,29996,29968,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
9,199983,31786,10240,675,-115,-29,0,29994,29964,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
10,200733,31656,10240,750,-115,-29,0,29992,29960,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
11,201558,31521,10240,825,-115,-29,0,29990,29956,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
12,202458,31382,10240,900,-115,-29,0,29988,29952,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
13,203433,31239,10240,975,-115,-29,0,29986,29948,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
14,204483,31092,10240,1050,-115,-29,0,29983,29944,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
15,205608,30940,10240,1125,-115,-29,0,29980,29940,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
16,206808,30784,10240,1200,-115,-29,0,29977,29936,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
17,208083,30624,10240,1275,-115,-29,0,29974,29932,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
18,209433,30460,10240,1350,-115,-29,0,29970,29928,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
19,210858,30291,10240,1425,-115,-29,0,29966,29924,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
20,212358,30118,10240,1500,-115,-29,0,29962,29920,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
21,213933,29941,10240,1575,-115,-29,0,29958,29916,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
22,215583,29760,10240,1650,-115,-29,0,29953,29912,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
23,217308,29574,10240,1725,-115,-29,0,29948,29908,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
24,219108,29384,10240,1800,-115,-29,0,29943,29904,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
25,220983,29578,10240,1875,-115,29,0,29938,29900,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
26,222933,29776,10240,1950,-115,29,0,29933,29896,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
27,224958,29979,10240,2025,-115,29,0,29927,29892,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
28,227058,29979,10240,2100,-115,0,0,29921,29888,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
29,229233,29979,10240,2175,-115,0,0,29915,29884,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
30,231483,29979,10240,2250,-115,0,0,29909,29880,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
31,233808,29979,10240,2325,-115,0,0,29902,29876,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
32,236208,29979,10240,2400,-115,0,0,29895,29872,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
33,238683,29979,10240,2475,-115,0,0,29888,29868,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
34,241233,29979,10240,2550,-115,0,0,29881,29864,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
35,243858,29979,10240,2625,-115,0,0,29873,29860,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
36,246558,29979,10240,2700,-115,0,0,29865,29856,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
37,249333,29979,10240,2775,-115,0,0,29857,29852,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
38,252183,29979,10240,2850,-115,0,0,29849,29848,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
39,255108,29979,10240,2925,-115,0,0,29841,29844,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
40,258108,29979,10240,3000,-115,0,0,29832,29840,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
41,261183,29979,10240,3075,-115,0,0,29823,29836,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
42,264333,29979,10240,3150,-115,0,0,29814,29832,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
43,267558,29979,10240,3225,-115,0,0,29805,29828,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
44,270858,29979,10240,3300,-115,0,0,29795,29824,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
45,274233,29979,10240,3375,-115,0,0,29785,29820,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
46,277683,29979,10240,3450,-115,0,0,29775,29816,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
47,281208,29979,10240,3525,-115,0,0,29765,29812,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
48,284808,29979,10240,3600,-115,0,0,29755,29808,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
49,288483,29979,10240,3675,-115,0,0,29744,29804,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
50,292233,29979,10240,3750,-115,0,0,29733,29800,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
51,296058,29979,10240,3825,-115,0,0,29722,29796,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
52,299958,29979,10240,3900,-115,0,0,29711,29792,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
53,303933,29979,10240,3975,-115,0,0,29699,29788,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
54,307983,29979,10240,4050,-115,0,0,29687,29784,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
55,312108,29979,10240,4125,-115,0,0,29675,29780,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
56,316308,29979,10240,4200,-115,0,0,29663,29776,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
57,320583,29979,10240,4275,-115,0,0,29650,29772,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
58,324933,29979,10240,4350,-115,0,0,29637,29768,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
59,329358,29979,10240,4425,-115,0,0,29624,29764,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
60,333858,29979,10240,4500,-115,0,0,29611,29760,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
61,338433,29979,10240,4575,-115,0,0,29598,29756,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
62,343083,29979,10240,4650,-115,0,0,29584,29752,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
63,347808,29979,10240,4725,-115,0,0,29570,29748,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
64,352608,29979,10240,4800,-115,0,0,29556,29744,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
65,357483,29979,10240,4875,-115,0,0,29542,29740,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
66,362433,29979,10240,4950,-115,0,0,29527,29736,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
67,367458,29979,10240,5025,-115,0,0,29512,29732,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
68,372558,29979,10240,5100,-115,0,0,29497,29728,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
69,377733,29979,10240,5175,-115,0,0,29482,29724,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
70,382983,29979,10240,5250,-115,0,0,29466,29720,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
71,388308,29979,10240,5325,-115,0,0,29450,29716,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
72,393708,29979,10240,5400,-115,0,0,29434,29712,1,0,0,0,0,5,0,0,0,0,0,32767,0,0
73,399183,29979,11277,5475,1037,0,0,29418,29708,0,1,0,0,0,5,0,0,0,0,0,32767,0,0
74,404733,29979,12199,5550,922,0,0,29402,29704,0,1,0,0,0,5,0,0,0,0,0,32767,0,0
75,410358,29979,13006,5625,807,0,0,29385,29700,0,1,0,0,0,5,0,0,0,0,0,32767,0,0
76,416058,29568,13698,5700,692,-29,0,29368,29696,0,1,0,0,0,5,0,0,0,0,0,32767,0,0
77,421833,29153,14275,5775,577,-29,0,29351,29692,0,1,0,0,0,5,0,0,0,0,0,32767,0,0
